"Orden";"Símbolo";"Nombre";"Numero Atomico";"Grupo";"Periodo";"Tipo";"Subtipo";"Estado";"Valencia";"peso atómico
(uma)";"density g/mL";"Punto Ebullicion";"Punto Fusion";"peso atómico
(uma)";"Cant_Val";"Nombre_ESP";"Oxidos_ESP";"Hidruros_ESP";"Hidroxidos_ESP";"Hidracidos_ESP";"Oxosales_ESP";"Sales_ESP"
63;"Eu";"Europio";63;3;6;"Metal";"Lantánidos";"Sólido";"3;2";151964;"5.24";1529;822;151964;2;"Europio";"Europioso; Európico";"Europioso; Európico";"Europioso; Európico";"Europioso; Európico";"Europioso; Európico";"Europioso; Európico"
64;"Gd";"Gadolinio";64;3;6;"Metal";"Lantánidos";"Sólido";3;"157.25";"7.9";3273;1313;"157.25";1;"Gadolinio";"Gadolinio";"Gadolinio";"Gadolinio";"Gadolinio";"Gadolinio";"Gadolinio"
65;"Tb";"Terbio";65;3;6;"Metal";"Lantánidos";"Sólido";"3;4";"158.92535";"8.23";3230;1365;"158.92535";2;"Terbio";"Terbioso; Térbico";"Terbioso; Térbico";"Terbioso; Térbico";"Terbioso; Térbico";"Terbioso; Térbico";"Terbioso; Térbico"
66;"Dy";"Disprosio";66;3;6;"Metal";"Lantánidos";"Sólido";3;"162.5";"8.55";2567;1412;"162.5";1;"Disprosio";"Disprosio";"Disprosio";"Disprosio";"Disprosio";"Disprosio";"Disprosio"
67;"Ho";"Holmio";67;3;6;"Metal";"Lantánidos";"Sólido";3;"164.93033";"8.8";2700;1474;"164.93033";1;"Holmio";"Holmio";"Holmio";"Holmio";"Holmio";"Holmio";"Holmio"
68;"Er";"Erbio";68;3;6;"Metal";"Lantánidos";"Sólido";3;167259;"9.07";2868;1529;167259;1;"Erbio";"Erbio";"Erbio";"Erbio";"Erbio";"Erbio";"Erbio"
69;"Tm";"Tulio";69;3;6;"Metal";"Lantánidos";"Sólido";"3;2";"168.93422";"9.32";1950;1545;"168.93422";2;"Tulio";"Tulioso; Túlico";"Tulioso; Túlico";"Tulioso; Túlico";"Tulioso; Túlico";"Tulioso; Túlico";"Tulioso; Túlico"
70;"Yb";"Iterbio";70;3;6;"Metal";"Lantánidos";"Sólido";"3;2";173054;"6.97";1196;819;173054;2;"Iterbio";"Iterbioso; Itérbico";"Iterbioso; Itérbico";"Iterbioso; Itérbico";"Iterbioso; Itérbico";"Iterbioso; Itérbico";"Iterbioso; Itérbico"
71;"Lu";"Lutecio";71;3;6;"Metal";"Lantánidos";"Sólido";3;"174.9668";"9.84";3402;1663;"174.9668";1;"Lutecio";"Lutecio";"Lutecio";"Lutecio";"Lutecio";"Lutecio";"Lutecio"
72;"Hf";"Hafnio";72;4;6;"Metal";"Lantánidos";"Sólido";4;"178.49";"13.3";4600;2227;"178.49";1;"Hafnio";"Hafnio";"Hafnio";"Hafnio";"Hafnio";"Hafnio";"Hafnio"
73;"Ta";"Tantalio";73;5;6;"Metal";"Lantánidos";"Sólido";5;"180.94788";"16.6";5425;2996;"180.94788";1;"Tantalio";"Tantalio";"Tantalio";"Tantalio";"Tantalio";"Tantalio";"Tantalio"
74;"W";"Wolframio";74;6;6;"Metal";"Lantánidos";"Sólido";"2;3;4;5;6";"183.84";"19.3";5660;3410;"183.84";5;"Wolframio";"Wolframioso; Wolfrámico";"Wolframioso; Wolfrámico";"Wolframioso; Wolfrámico";"Wolframioso; Wolfrámico";"Wolframioso; Wolfrámico";"Wolframioso; Wolfrámico"
75;"Re";"Renio";75;7;6;"Metal";"Lantánidos";"Sólido";"1;2;4;6;7";186207;21;5600;3180;186207;5;"Renio";"Renioso; Rénico";"Renioso; Rénico";"Renioso; Rénico";"Renioso; Rénico";"Renioso; Rénico";"Renioso; Rénico"
76;"Os";"Osmio";76;8;6;"Metal";"Lantánidos";"Sólido";"2;3;4;6;8";"190.23";"22.6";5030;3045;"190.23";5;"Osmio";"Osmioso; Ósmico";"Osmioso; Ósmico";"Osmioso; Ósmico";"Osmioso; Ósmico";"Osmioso; Ósmico";"Osmioso; Ósmico"
77;"Ir";"Iridio";77;9;6;"Metal";"Lantánidos";"Sólido";"2;3;4;6";192217;"22.4";4130;2410;192217;4;"Iridio";"Iridioso; Irídico";"Iridioso; Irídico";"Iridioso; Irídico";"Iridioso; Irídico";"Iridioso; Irídico";"Iridioso; Irídico"
78;"Pt";"Platino";78;10;6;"Metal";"Lantánidos";"Sólido";"2;4";195084;"21.4";3827;1772;195084;2;"Platino";"Platinoso; Platínico";"Platinoso; Platínico";"Platinoso; Platínico";"Platinoso; Platínico";"Platinoso; Platínico";"Platinoso; Platínico"
79;"Au";"Oro";79;11;6;"Metal";"Lantánidos";"Sólido";"1;3";"196.966569";"19.3";3080;1064;"196.966569";2;"Oro";"Auroso; Áurico";"Auroso; Áurico";"Auroso; Áurico";"Auroso; Áurico";"Auroso; Áurico";"Auroso; Áurico"
80;"Hg";"Mercurio";80;12;6;"Metal";"Lantánidos";"Líquido";"1;2";200592;"13.5";357;"-38.9";200592;2;"Mercurio";"Mercuroso; Mercúrico";"Mercuroso; Mercúrico";"Mercuroso; Mercúrico";"Mercuroso; Mercúrico";"Mercuroso; Mercúrico";"Mercuroso; Mercúrico"
81;"Tl";"Talio";81;13;6;"Metal";"Lantánidos";"Sólido";"1;3";"204.3835";"11.9";1457;303;"204.3835";2;"Talio";"Talioso; Tálico";"Talioso; Tálico";"Talioso; Tálico";"Talioso; Tálico";"Talioso; Tálico";"Talioso; Tálico"
